"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
1104150,-10.0187634137503,-0.407878061728314,0.839202647434698,0.850086967895981,7.98514015434066,1.43265141616442,8.91821376534647,2.15363307697495,-85.2501584341357,-0.532464793667615,0.000408235081424432,5.44158760118306e-05,0.000261942281344365,4.24493121660596e-05,NA,NA,NA,NA
1112330,-6.24521433449917,-6.66736800465068,0.718876193969065,0.646700520582828,6.50645557157774,2.99425659637234,8.23935396488821,10.2860730939614,-28.5243738680037,-14.2709629887785,0.000221865722452068,0.000159563323857587,0.000118394627586207,0.000147940633361754,NA,NA,NA,NA
1112340,-5.39255320721711,0.0195235442137509,0.97112341977493,0.928415802016169,5.29402391609006,0.556827504487893,5.73553178199268,1.87166961755687,-26.3001365403425,0.433993990280883,0.000767855194803467,0.000110562395154803,0.0004298589,0.000103614108337695,8.45906105226622,1.21800836541666,4.73553178199268,1.14146270577621
1160378,-22.4224760931142,-2.74032520509884,0.45321816439374,0.53108649422745,23.9896657202987,3.29514651217291,20.6173763536339,4.81187144223151,-360.494335742158,-5.98364888268275,0.000178032639471511,2.47451494085625e-05,7.81539293981719e-05,1.64930418710926e-05,NA,NA,NA,NA
1196405,-11.4440666829351,0.10864174628351,0.711819508044861,0.77821276258062,7.08539098537637,1.36611557061426,13.1856430143646,2.02979400029323,-43.4016687577599,0.395964632780973,0.000176356003427274,2.05694076862616e-05,9.58471827649821e-05,1.11748941560532e-05,NA,NA,NA,NA
1234180,-546.291552200775,-5.67482503576582,0.67138676735489,0.630286198405951,260.888529009952,1.972287830917,459.534521316612,8.47964921737571,-162840.612792825,-18.3661741019783,0.0251310787052351,0.000274062962975249,0.0192708435117839,0.000265903796243321,NA,NA,NA,NA
1258100,-44.1561711602654,-178.091699257659,0.231842782746557,0.363669065787559,35.2158875283723,11.5960209008334,28.2753527427807,181.196775532581,-1382.2607581557,-2326.71842663545,0.000374338180110582,0.000485598479972229,7.31442260984234e-05,0.00047172637300388,NA,NA,NA,NA
1258201,-119.975297401575,-44.1397012115005,0.394146737117508,0.421078868308086,37.1905762409752,11.2938958391019,121.956623703228,44.8215097836822,-1545.67686553368,-151.656620454808,0.000158941774869935,4.99339687809715e-05,4.95363660110362e-05,1.88326820925225e-05,NA,NA,NA,NA
1258500,-14.778834235749,-15.1127352361225,0.640904784314218,0.66358424138836,8.4625395432252,2.28946754352177,16.3233116417211,17.3718720766634,-62.9936982812657,-8.96696442424409,0.000158013719956504,6.23602211582096e-05,4.51050461566721e-05,5.17253580932906e-05,NA,NA,NA,NA
1259100,0.391145125526837,-9.85506989846957,0.679263442990197,0.329798118509004,0.539320610564583,0.430246416140926,0.76400231055146,11.8210266517686,0.439670089425384,-5.56428108603992,3.06225488835886e-05,0.000104812485149285,7.88536954692066e-06,0.000101689006192551,NA,NA,NA,NA
